Movie,Year,Show,Date,Category,Winner?,Nominee(s),Birthdate,Age,Image
The Best Years of Our Lives,1946,19th Academy Awards,3/13/47,Best Supporting Actor,X,Harold Russell,1/14/14,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTU3MDYwODgyNl5BMl5BanBnXkFtZTcwNTU4OTQwNw@@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Green Years,1946,19th Academy Awards,3/13/47,Best Supporting Actor,,Charles Coburn,6/19/1877,69,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3ODUyNTE2OV5BMl5BanBnXkFtZTYwMTMzMzQ2._V1_UY317_CR11,0,214,317_AL_.jpg"
Notorious,1946,19th Academy Awards,3/13/47,Best Supporting Actor,,Claude Rains,11/10/1889,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNDc3NjQ1OF5BMl5BanBnXkFtZTcwMjQ0NjI5Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg"
The Razor's Edge,1946,19th Academy Awards,3/13/47,Best Supporting Actor,,Clifton Webb,11/19/1889,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MzIxMDAzNF5BMl5BanBnXkFtZTcwNDQ3MDA1Nw@@._V1_UY317_CR97,0,214,317_AL_.jpg"
The Jolson Story,1946,19th Academy Awards,3/13/47,Best Supporting Actor,,William Demarest,2/27/1892,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjA2MjY5NDAxOF5BMl5BanBnXkFtZTcwNjM2MjcwOA@@._V1_UY317_CR13,0,214,317_AL_.jpg"
The Razor's Edge,1946,19th Academy Awards,3/13/47,Best Supporting Actress,X,Anne Baxter,5/7/23,23,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2OTU3MTM0Nl5BMl5BanBnXkFtZTYwMTgwMTM2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Spiral Staircase,1946,19th Academy Awards,3/13/47,Best Supporting Actress,,Ethel Barrymore,8/15/1879,67,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjUxMjI5NV5BMl5BanBnXkFtZTYwOTI5NzI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Duel in the Sun,1946,19th Academy Awards,3/13/47,Best Supporting Actress,,Lillian Gish,10/14/1893,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5Mjk1MzcwMl5BMl5BanBnXkFtZTYwNzY4NzI2._V1_UY317_CR16,0,214,317_AL_.jpg"
Anna and the King of Siam,1946,19th Academy Awards,3/13/47,Best Supporting Actress,,Gale Sondergaard,2/15/1899,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MDc3MzkyOV5BMl5BanBnXkFtZTYwNjI3MjI2._V1_UY317_CR23,0,214,317_AL_.jpg"
Saratoga Trunk,1946,19th Academy Awards,3/13/47,Best Supporting Actress,,Flora Robson,3/28/02,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDk5MWQwOWUtYzc1OC00ZThhLTkzOGUtZTNjYmNlZmVkOTU2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR2,0,214,317_AL_.jpg"
A Double Life,1947,20th Academy Awards,3/20/48,Best Actor,X,Ronald Colman,2/9/1891,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3ODU4ODY4NF5BMl5BanBnXkFtZTYwNTQxMTM2._V1_UY317_CR18,0,214,317_AL_.jpg"
Life with Father,1947,20th Academy Awards,3/20/48,Best Actor,,William Powell,7/29/1892,55,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MzcxMjExN15BMl5BanBnXkFtZTcwODA2NDQyOA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
Mourning Becomes Electra,1947,20th Academy Awards,3/20/48,Best Actor,,Michael Redgrave,3/20/08,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BODI0OTM1MTA3MF5BMl5BanBnXkFtZTcwNzEyNTUyOA@@._V1_UY317_CR10,0,214,317_AL_.jpg"
Body and Soul,1947,20th Academy Awards,3/20/48,Best Actor,,John Garfield,3/4/13,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BYjRiZGFiNzctOGU2Ni00Y2M3LWJiMDUtNGY2NTRjNWYyYmM1XkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Gentleman's Agreement,1947,20th Academy Awards,3/20/48,Best Actor,,Gregory Peck,4/5/16,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODc0NTE2NF5BMl5BanBnXkFtZTYwNjYyMjQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
The Farmer's Daughter,1947,20th Academy Awards,3/20/48,Best Actress,X,Loretta Young,1/6/13,35,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExOTQ1ODYzOF5BMl5BanBnXkFtZTYwMDQ1NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Possessed,1947,20th Academy Awards,3/20/48,Best Actress,,Joan Crawford,3/23/04,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMzNzQ5Mjg5MF5BMl5BanBnXkFtZTYwNTg0NDM2._V1_UY317_CR6,0,214,317_AL_.jpg"
Mourning Becomes Electra,1947,20th Academy Awards,3/20/48,Best Actress,,Rosalind Russell,6/4/07,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0NTA4NTI2N15BMl5BanBnXkFtZTYwNDE4NjQ2._V1_UY317_CR9,0,214,317_AL_.jpg"
Gentleman's Agreement,1947,20th Academy Awards,3/20/48,Best Actress,,Dorothy McGuire,6/14/16,31,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5NjQ3NjE1MF5BMl5BanBnXkFtZTcwMjAwMTUzNw@@._V1_UY317_CR1,0,214,317_AL_.jpg"
Smash-Up: The Story of a Woman,1947,20th Academy Awards,3/20/48,Best Actress,,Susan Hayward,6/30/17,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDAyODAzOF5BMl5BanBnXkFtZTYwNDUzMzQ2._V1_UY317_CR21,0,214,317_AL_.jpg"
Miracle on 34th Street,1947,20th Academy Awards,3/20/48,Best Supporting Actor,X,Edmund Gwenn,9/26/1877,70,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NDIzODM2NF5BMl5BanBnXkFtZTcwNjQyNzkwNA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
The Farmer's Daughter,1947,20th Academy Awards,3/20/48,Best Supporting Actor,,Charles Bickford,1/1/1891,57,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MDUxMjkxNF5BMl5BanBnXkFtZTcwNDQwNTYyOA@@._V1_UY317_CR7,0,214,317_AL_.jpg"
Ride the Pink Horse,1947,20th Academy Awards,3/20/48,Best Supporting Actor,,Thomas Gomez,7/10/05,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDg4ODMwMDU0MV5BMl5BanBnXkFtZTcwNDY5OTkwOA@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Crossfire,1947,20th Academy Awards,3/20/48,Best Supporting Actor,,Robert Ryan,11/11/09,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NjI1MDc4NV5BMl5BanBnXkFtZTYwMjMwMTM2._V1_UY317_CR17,0,214,317_AL_.jpg"
Kiss of Death,1947,20th Academy Awards,3/20/48,Best Supporting Actor,,Richard Widmark,12/26/14,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MjgwODQ3M15BMl5BanBnXkFtZTcwMjIxMjUyNA@@._V1_UY317_CR21,0,214,317_AL_.jpg"
Gentleman's Agreement,1947,20th Academy Awards,3/20/48,Best Supporting Actress,X,Celeste Holm,4/29/17,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDgzNDg3MF5BMl5BanBnXkFtZTYwMzkyNTc1._V1_UX214_CR0,0,214,317_AL_.jpg"
The Paradine Case,1947,20th Academy Awards,3/20/48,Best Supporting Actress,,Ethel Barrymore,8/15/1879,68,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjUxMjI5NV5BMl5BanBnXkFtZTYwOTI5NzI2._V1_UY317_CR18,0,214,317_AL_.jpg"
The Egg and I,1947,20th Academy Awards,3/20/48,Best Supporting Actress,,Marjorie Main,2/24/1890,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTNjMDIyN2ItYmNhZS00MTU1LWJkNTctYTEzMzc5YWMxMzlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR18,0,214,317_AL_.jpg"
Gentleman's Agreement,1947,20th Academy Awards,3/20/48,Best Supporting Actress,,Anne Revere,6/25/03,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4ODEzMDQwOV5BMl5BanBnXkFtZTgwOTQ1OTQzMjE@._V1_UY317_CR19,0,214,317_AL_.jpg"
Crossfire,1947,20th Academy Awards,3/20/48,Best Supporting Actress,,Gloria Grahame,11/28/23,24,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyNTgyNjMxOF5BMl5BanBnXkFtZTYwNTgwMTM2._V1_UY317_CR21,0,214,317_AL_.jpg"
Hamlet,1948,21st Academy Awards,3/24/49,Best Actor,X,Laurence Olivier,5/22/07,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNjYwNDE5M15BMl5BanBnXkFtZTYwNzg0MDQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
Sitting Pretty,1948,21st Academy Awards,3/24/49,Best Actor,,Clifton Webb,11/19/1889,59,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MzIxMDAzNF5BMl5BanBnXkFtZTcwNDQ3MDA1Nw@@._V1_UY317_CR97,0,214,317_AL_.jpg"
Johnny Belinda,1948,21st Academy Awards,3/24/49,Best Actor,,Lew Ayres,12/28/08,40,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3ODM3MjQ2Ml5BMl5BanBnXkFtZTcwMjg0OTY5Nw@@._V1_UY317_CR15,0,214,317_AL_.jpg"
When My Baby Smiles at Me,1948,21st Academy Awards,3/24/49,Best Actor,,Dan Dailey,12/14/15,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NDQ0Mzg4N15BMl5BanBnXkFtZTYwMjQ2MjI2._V1_UY317_CR20,0,214,317_AL_.jpg"
The Search,1948,21st Academy Awards,3/24/49,Best Actor,,Montgomery Clift,10/17/20,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5OTI1NTEyNl5BMl5BanBnXkFtZTYwODQyNDQ2._V1_UY317_CR24,0,214,317_AL_.jpg"
Johnny Belinda,1948,21st Academy Awards,3/24/49,Best Actress,X,Jane Wyman,1/5/17,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDg3NDI3MV5BMl5BanBnXkFtZTYwNTc0NDU2._V1_UY317_CR17,0,214,317_AL_.jpg"
I Remember Mama,1948,21st Academy Awards,3/24/49,Best Actress,,Irene Dunne,12/20/1898,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzA1NTg0NzU2MV5BMl5BanBnXkFtZTYwNjU5OTU2._V1_UY317_CR21,0,214,317_AL_.jpg"
"Sorry, Wrong Number",1948,21st Academy Awards,3/24/49,Best Actress,,Barbara Stanwyck,7/16/07,41,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjMxODIzODEzNF5BMl5BanBnXkFtZTYwNDgwNjI2._V1_UY317_CR2,0,214,317_AL_.jpg"
Joan of Arc,1948,21st Academy Awards,3/24/49,Best Actress,,Ingrid Bergman,8/29/15,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMTgzMTIwOV5BMl5BanBnXkFtZTYwNzI5MzI2._V1_UY317_CR20,0,214,317_AL_.jpg"
The Snake Pit,1948,21st Academy Awards,3/24/49,Best Actress,,Olivia de Havilland,7/1/16,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Njc5Mjk5M15BMl5BanBnXkFtZTYwOTk1MjU2._V1_UY317_CR17,0,214,317_AL_.jpg"
The Treasure of the Sierra Madre,1948,21st Academy Awards,3/24/49,Best Supporting Actor,X,Walter Huston,4/5/1883,66,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDMwNjUzOF5BMl5BanBnXkFtZTYwMjk1MjI2._V1_UY317_CR17,0,214,317_AL_.jpg"
The Luck of the Irish,1948,21st Academy Awards,3/24/49,Best Supporting Actor,,Cecil Kellaway,8/22/1890,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTQ1OTI5NDMzOF5BMl5BanBnXkFtZTgwMTk1MjA1MDE@._V1_UY317_CR15,0,214,317_AL_.jpg"
Johnny Belinda,1948,21st Academy Awards,3/24/49,Best Supporting Actor,,Charles Bickford,1/1/1891,58,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MDUxMjkxNF5BMl5BanBnXkFtZTcwNDQwNTYyOA@@._V1_UY317_CR7,0,214,317_AL_.jpg"
I Remember Mama,1948,21st Academy Awards,3/24/49,Best Supporting Actor,,Oscar Homolka,8/12/1898,50,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDllZTEwMTUtZDMwOS00MmI5LThmM2EtNDI5MmJkNTA4MmU5XkEyXkFqcGdeQXVyMzAwOTU1MTk@._V1_UY317_CR24,0,214,317_AL_.jpg"
Joan of Arc,1948,21st Academy Awards,3/24/49,Best Supporting Actor,,Jose Ferrer,1/8/12,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwODAwMzM0M15BMl5BanBnXkFtZTYwNjc1MjI2._V1_UY317_CR16,0,214,317_AL_.jpg"
Key Largo,1948,21st Academy Awards,3/24/49,Best Supporting Actress,X,Claire Trevor,3/8/10,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzYwMjgwNjM5Ml5BMl5BanBnXkFtZTYwNjMwMTM2._V1_UY317_CR19,0,214,317_AL_.jpg"
Johnny Belinda,1948,21st Academy Awards,3/24/49,Best Supporting Actress,,Agnes Moorehead,12/6/00,48,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MDQ5ODE3M15BMl5BanBnXkFtZTcwODk5ODcyMQ@@._V1_UY317_CR5,0,214,317_AL_.jpg"
I Remember Mama,1948,21st Academy Awards,3/24/49,Best Supporting Actress,,Ellen Corby,6/3/11,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjIxMTE0NzE3MF5BMl5BanBnXkFtZTcwNTMzNTQwOA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
I Remember Mama,1948,21st Academy Awards,3/24/49,Best Supporting Actress,,Barbara Bel Geddes,10/31/22,26,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzOTg1OTg5Nl5BMl5BanBnXkFtZTcwOTYyMDEzMQ@@._V1_UY317_CR2,0,214,317_AL_.jpg"
Hamlet,1948,21st Academy Awards,3/24/49,Best Supporting Actress,,Jean Simmons,1/31/29,20,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3OTQ1ODk3N15BMl5BanBnXkFtZTYwMDk4MDM2._V1_UY317_CR18,0,214,317_AL_.jpg"
All the King's Men,1949,22nd Academy Awards,3/23/50,Best Actor,X,Broderick Crawford,12/11/11,38,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwODk3MTE3NV5BMl5BanBnXkFtZTYwNjAwMTM2._V1_UY317_CR21,0,214,317_AL_.jpg"
Sands of Iwo Jima,1949,22nd Academy Awards,3/23/50,Best Actor,,John Wayne,5/26/07,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY1NDE0NzgzNl5BMl5BanBnXkFtZTcwNDMwMTUzNw@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Twelve O'Clock High,1949,22nd Academy Awards,3/23/50,Best Actor,,Gregory Peck,4/5/16,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0ODc0NTE2NF5BMl5BanBnXkFtZTYwNjYyMjQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Champion,1949,22nd Academy Awards,3/23/50,Best Actor,,Kirk Douglas,12/9/16,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NDc0MjI5NV5BMl5BanBnXkFtZTYwMDE1MjM2._V1_UY317_CR17,0,214,317_AL_.jpg"
The Hasty Heart,1949,22nd Academy Awards,3/23/50,Best Actor,,Richard Todd,6/11/19,30,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5MTM2MzM4Ml5BMl5BanBnXkFtZTcwNTU5ODAyMw@@._V1_UY317_CR20,0,214,317_AL_.jpg"
The Heiress,1949,22nd Academy Awards,3/23/50,Best Actress,X,Olivia de Havilland,7/1/16,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0Njc5Mjk5M15BMl5BanBnXkFtZTYwOTk1MjU2._V1_UY317_CR17,0,214,317_AL_.jpg"
Come to the Stable,1949,22nd Academy Awards,3/23/50,Best Actress,,Loretta Young,1/6/13,37,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExOTQ1ODYzOF5BMl5BanBnXkFtZTYwMDQ1NjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
My Foolish Heart,1949,22nd Academy Awards,3/23/50,Best Actress,,Susan Hayward,6/30/17,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5MDAyODAzOF5BMl5BanBnXkFtZTYwNDUzMzQ2._V1_UY317_CR21,0,214,317_AL_.jpg"
"Edward, My Son",1949,22nd Academy Awards,3/23/50,Best Actress,,Deborah Kerr,9/30/21,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwNTAzNTA2MV5BMl5BanBnXkFtZTYwMjUzMzQ2._V1_UY317_CR18,0,214,317_AL_.jpg"
Pinky,1949,22nd Academy Awards,3/23/50,Best Actress,,Jeanne Crain,5/25/25,24,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMTMyNTI3NF5BMl5BanBnXkFtZTYwNTQyMzQ2._V1_UX214_CR0,0,214,317_AL_.jpg"
Twelve O'Clock High,1949,22nd Academy Awards,3/23/50,Best Supporting Actor,X,Dean Jagger,11/7/03,46,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1NzkxNDQ4MF5BMl5BanBnXkFtZTcwMzg0MjIyOA@@._V1_UY317_CR9,0,214,317_AL_.jpg"
The Heiress,1949,22nd Academy Awards,3/23/50,Best Supporting Actor,,Ralph Richardson,12/19/02,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwMTc0NjM0NF5BMl5BanBnXkFtZTcwNDQxODYxOA@@._V1_UY317_CR12,0,214,317_AL_.jpg"
All the King's Men,1949,22nd Academy Awards,3/23/50,Best Supporting Actor,,John Ireland,1/30/14,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1OTY1MDk2MF5BMl5BanBnXkFtZTcwODMwMjkzNA@@._V1_UY317_CR99,0,214,317_AL_.jpg"
Champion,1949,22nd Academy Awards,3/23/50,Best Supporting Actor,,Arthur Kennedy,2/17/14,36,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjNhMzU2OGMtNGQ5NC00MTA2LThmYmQtZGZjYTc3YjUwMzU1XkEyXkFqcGdeQXVyMzk3NTUwOQ@@._V1_UY317_CR26,0,214,317_AL_.jpg"
Battleground,1949,22nd Academy Awards,3/23/50,Best Supporting Actor,,James Whitmore,10/1/21,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5MzkxMTkxOV5BMl5BanBnXkFtZTcwNTEzNTgxMw@@._V1_UY317_CR33,0,214,317_AL_.jpg"
All the King's Men,1949,22nd Academy Awards,3/23/50,Best Supporting Actress,X,Mercedes McCambridge,3/16/16,34,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyMTc3MDQ3MzVeQTJeQWpwZ15BbWU2MDI1NTkyNg@@._V1_UY317_CR18,0,214,317_AL_.jpg"
Pinky,1949,22nd Academy Awards,3/23/50,Best Supporting Actress,,Ethel Barrymore,8/15/1879,70,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNjUxMjI5NV5BMl5BanBnXkFtZTYwOTI5NzI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Pinky,1949,22nd Academy Awards,3/23/50,Best Supporting Actress,,Ethel Waters,10/31/1896,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NjkwMzM4NF5BMl5BanBnXkFtZTYwMTkxNjI2._V1_UY317_CR5,0,214,317_AL_.jpg"
Come to the Stable,1949,22nd Academy Awards,3/23/50,Best Supporting Actress,,Elsa Lanchester,10/28/02,47,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2OTI2MDM5OF5BMl5BanBnXkFtZTYwOTk5MDM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Come to the Stable,1949,22nd Academy Awards,3/23/50,Best Supporting Actress,,Celeste Holm,4/29/17,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDgzNDg3MF5BMl5BanBnXkFtZTYwMzkyNTc1._V1_UX214_CR0,0,214,317_AL_.jpg"
Cyrano De Bergerac,1950,23rd Academy Awards,3/29/51,Best Actor,X,Jose Ferrer,1/8/12,39,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwODAwMzM0M15BMl5BanBnXkFtZTYwNjc1MjI2._V1_UY317_CR16,0,214,317_AL_.jpg"
The Magnificent Yankee,1950,23rd Academy Awards,3/29/51,Best Actor,,Louis Calhern,2/19/1895,56,"https://images-na.ssl-images-amazon.com/images/M/MV5BOGUzMjVkZTgtYjk4ZS00MmVlLTljM2MtMzBhOTE0ZjhkMTNmXkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_UY317_CR15,0,214,317_AL_.jpg"
Father of the Bride,1950,23rd Academy Awards,3/29/51,Best Actor,,Spencer Tracy,4/5/00,51,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNjE5NTc0OV5BMl5BanBnXkFtZTYwNDU5ODI2._V1_UY317_CR4,0,214,317_AL_.jpg"
Harvey,1950,23rd Academy Awards,3/29/51,Best Actor,,James Stewart,5/20/08,42,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwNzMzODY0NV5BMl5BanBnXkFtZTcwMDk3NDQyOA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Sunset Blvd.,1950,23rd Academy Awards,3/29/51,Best Actor,,William Holden,4/17/18,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BODI2NzM4MzA3Nl5BMl5BanBnXkFtZTcwODMxOTkxOA@@._V1_UY317_CR19,0,214,317_AL_.jpg"
Born Yesterday,1950,23rd Academy Awards,3/29/51,Best Actress,X,Judy Holliday,6/21/21,29,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MTEzOTQ1NV5BMl5BanBnXkFtZTcwNDIyOTkxOA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Sunset Blvd.,1950,23rd Academy Awards,3/29/51,Best Actress,,Gloria Swanson,3/27/1899,52,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzIxOTUwOV5BMl5BanBnXkFtZTYwNDM5MTI2._V1_UY317_CR4,0,214,317_AL_.jpg"
All About Eve,1950,23rd Academy Awards,3/29/51,Best Actress,,Bette Davis,4/5/08,43,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2OTQ4NTU2OF5BMl5BanBnXkFtZTcwMzI3MjY5Ng@@._V1_UY317_CR24,0,214,317_AL_.jpg"
Caged,1950,23rd Academy Awards,3/29/51,Best Actress,,Eleanor Parker,6/26/22,28,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0MTE1MDYxMF5BMl5BanBnXkFtZTcwODU2NTUwOA@@._V1_UY317_CR18,0,214,317_AL_.jpg"
All About Eve,1950,23rd Academy Awards,3/29/51,Best Actress,,Anne Baxter,5/7/23,27,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2OTU3MTM0Nl5BMl5BanBnXkFtZTYwMTgwMTM2._V1_UY317_CR16,0,214,317_AL_.jpg"
All About Eve,1950,23rd Academy Awards,3/29/51,Best Supporting Actor,X,George Sanders,7/3/06,44,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyODU3MDQ4NV5BMl5BanBnXkFtZTcwOTgwOTkxOA@@._V1_UY317_CR22,0,214,317_AL_.jpg"
Mister 880,1950,23rd Academy Awards,3/29/51,Best Supporting Actor,,Edmund Gwenn,9/26/1877,73,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1NDIzODM2NF5BMl5BanBnXkFtZTcwNjQyNzkwNA@@._V1_UY317_CR17,0,214,317_AL_.jpg"
Sunset Blvd.,1950,23rd Academy Awards,3/29/51,Best Supporting Actor,,Erich von Stroheim,9/22/1885,65,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTYwNTcyOF5BMl5BanBnXkFtZTYwMzQ2MjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
The Asphalt Jungle,1950,23rd Academy Awards,3/29/51,Best Supporting Actor,,Sam Jaffe,3/10/1891,60,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3Njk3NjgwNl5BMl5BanBnXkFtZTcwNDg2MjYxOA@@._V1_UY317_CR0,0,214,317_AL_.jpg"
Broken Arrow,1950,23rd Academy Awards,3/29/51,Best Supporting Actor,,Jeff Chandler,12/15/18,32,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTAxMDQ3NDk0OV5BMl5BanBnXkFtZTYwNTA4MjM2._V1_UY317_CR22,0,214,317_AL_.jpg"
Harvey,1950,23rd Academy Awards,3/29/51,Best Supporting Actress,X,Josephine Hull,1/3/1886,65,"https://images-na.ssl-images-amazon.com/images/M/MV5BZGU0YTdhOTAtMzU3My00NDA4LTk1YTYtZjc4ZjllMTEyYjkzXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY317_CR18,0,214,317_AL_.jpg"
Caged,1950,23rd Academy Awards,3/29/51,Best Supporting Actress,,Hope Emerson,10/29/1897,53,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NzUxNDc1OF5BMl5BanBnXkFtZTcwOTU0NzQ5Ng@@._V1_UY317_CR104,0,214,317_AL_.jpg"
All About Eve,1950,23rd Academy Awards,3/29/51,Best Supporting Actress,,Thelma Ritter,2/14/02,49,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzOTEyNTUxNV5BMl5BanBnXkFtZTcwNzAwNjYwNA@@._V1_UY317_CR18,0,214,317_AL_.jpg"
All About Eve,1950,23rd Academy Awards,3/29/51,Best Supporting Actress,,Celeste Holm,4/29/17,33,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDgzNDg3MF5BMl5BanBnXkFtZTYwMzkyNTc1._V1_UX214_CR0,0,214,317_AL_.jpg"
Sunset Blvd.,1950,23rd Academy Awards,3/29/51,Best Supporting Actress,,Nancy Olson,7/14/28,22,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTczNTA4MjExN15BMl5BanBnXkFtZTcwOTkyNTgxMw@@._V1_UY317_CR18,0,214,317_AL_.jpg"
The African Queen,1951,24th Academy Awards,3/20/52,Best Actor,X,Humphrey Bogart,12/25/1899,52,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyOTE3MDM5Ml5BMl5BanBnXkFtZTYwMzA2MTM2._V1_UY317_CR14,0,214,317_AL_.jpg"
Death of a Salesman,1951,24th Academy Awards,3/20/52,Best Actor,,Fredric March,8/31/1897,54,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTI3MDEyMzg2OF5BMl5BanBnXkFtZTYwNzA2MjI2._V1_UY317_CR29,0,214,317_AL_.jpg"
